17  253
160  155  254
158  152  247
166  153  250
161  162  2
160  156  253
146  152  11
152  163  1
144  188  238
142  215  224
143  221  218
143  226  207
144  228  201
141  231  204
141  221  213
140  222  216
138  220  215
138  219  217
137  219  219
137  220  217
137  220  216
135  218  218
136  219  216
136  218  217
136  219  216
136  222  216
137  220  216
152  153  7
131  127  20
125  77  2
128  67  250
123  56  242
125  60  245
130  78  251
130  80  252
131  82  255
135  142  5
128  196  240
135  202  240
130  221  212
130  224  214
127  224  213
128  224  212
128  223  212
128  223  212
127  224  211
126  225  210
128  225  208
128  230  203
137  236  190
131  241  185
131  241  186
129  238  192
132  230  200
127  231  204
130  230  203
128  221  217
129  222  212
127  215  217
129  208  228
137  180  251
137  91  3
138  94  1
129  94  0
124  82  243
122  75  248
122  62  245
127  69  250
127  137  4
130  216  223
130  237  196
132  236  193
134  232  200
131  229  202
128  228  203
128  230  205
125  231  204
129  232  204
130  231  200
127  229  205
126  227  205
126  226  203
127  231  202
127  226  208
126  226  206
126  227  206
126  227  205
125  226  205
126  228  205
125  229  206
126  228  205
126  226  207
125  227  206
126  227  206
124  226  206
125  224  207
125  228  206
125  223  206
125  226  207
125  226  207
126  224  208
125  226  208
127  222  204
126  228  205
127  246  199
128  235  198
128  234  199
127  230  198
127  230  200
126  228  201
126  230  202
126  232  202
127  231  201
125  230  201
127  229  203
125  229  204
126  230  203
127  230  203
127  229  203
128  230  203
126  228  201
126  229  205
126  229  204
126  229  204
126  229  204
127  230  205
126  229  203
126  229  205
126  228  203
126  229  203
126  229  205
124  229  208
129  229  205
127  228  204
124  227  206
125  227  206
126  230  206
125  227  206
126  229  205
125  228  205
125  226  204
127  230  203
127  231  203
127  227  204
123  226  205
130  231  204
126  228  204
126  228  206
126  230  206
127  225  207
127  229  206
125  224  207
127  227  208
126  228  205
125  227  208
128  228  205
125  227  204
123  226  207
126  225  207
125  229  208
123  224  208
126  223  210
127  226  208
125  224  210
126  224  210
126  225  208
127  222  208
125  227  210
126  216  220
138  217  212
166  198  222
154  207  241
146  186  243
